provincia_distrito,lat_centroide,lon_centroide,zona_pais
Bs.As. G.B.A. Zona Norte,-34.4250984,-58.7359009,Buenos Aires
Bs.As. G.B.A. Zona Oeste,-34.7150993,-58.7963982,Buenos Aires
Bs.As. G.B.A. Zona Sur,-34.9105988,-58.3856010,Buenos Aires
Buenos Aires Costa Atlántica,-36.9794006,-56.8588982,Buenos Aires
Buenos Aires Interior,-36.7066002,-60.5950012,Buenos Aires
Capital Federal,-34.6144981,-58.4454002,Capital Federal
Catamarca,-27.3369007,-66.9434967,Norte
Chaco,-26.3864994,-60.7658005,Litoral
Chubut,-43.7886009,-68.5263977,Patagonia
Córdoba,-32.1484985,-63.7997017,Cuyo y Centro
Corrientes,-28.7801991,-57.8037987,Litoral
Entre Ríos,-32.0564995,-59.2011986,Litoral
Formosa,-24.8931007,-59.9343987,Litoral
Jujuy,-23.3185997,-65.7690964,Norte
La Pampa,-37.1320000,-65.4465027,Patagonia
La Rioja,-29.6854000,-67.1768036,Norte
Mendoza,-34.6306992,-68.5826035,Cuyo y Centro
Misiones,-26.8750992,-54.6515007,Litoral
Neuquén,-38.6414986,-70.1184006,Patagonia
Río Negro,-40.4062004,-67.2294006,Patagonia
Salta,-24.2999992,-64.8128967,Norte
San Juan,-30.8607998,-68.8951035,Cuyo y Centro
San Luis,-33.7514000,-66.0347977,Cuyo y Centro
Santa Cruz,-48.8157997,-69.9561996,Patagonia
Santa Fe,-30.7070999,-60.9488983,Litoral
Santiago Del Estero,-27.7851009,-63.2501984,Norte
Tierra Del Fuego,-53.4160004,-64.5445023,Patagonia
Tucumán,-26.9473991,-65.3645020,Norte
